ladcode,ladname,shielding_advice,start_datetime_utc
E06000031,Peterborough City Council,YES,2020-12-20T00:01:00
E06000032,Luton Borough Council,YES,2020-12-20T00:01:00
E06000033,Southend-on-Sea Borough Council,YES,2020-12-20T00:01:00
E06000034,Thurrock Council,YES,2020-12-20T00:01:00
E06000035,Medway Council,YES,2020-12-20T00:01:00
E06000036,Bracknell Forest Council,YES,2020-12-20T00:01:00
E06000037,West Berkshire Council,YES,2020-12-20T00:01:00
E06000038,Reading Borough Council,YES,2020-12-20T00:01:00
E06000039,Slough Borough Council,YES,2020-12-20T00:01:00
E06000040,Royal Borough of Windsor and Maidenhead,YES,2020-12-20T00:01:00
E06000041,Wokingham Borough Council,YES,2020-12-20T00:01:00
E06000042,Milton Keynes Council,YES,2020-12-20T00:01:00
E06000043,Brighton and Hove City Council,YES,2020-12-26T00:01:00
E06000044,Portsmouth City Council,YES,2020-12-20T00:01:00
E06000045,Southampton City Council,YES,2020-12-26T00:01:00
E06000055,Bedford Borough Council,YES,2020-12-20T00:01:00
E06000056,Central Bedfordshire Council,YES,2020-12-20T00:01:00
E09000023,London Borough of Lewisham,YES,2020-12-20T00:01:00
E09000001,City of London Corporation,YES,2020-12-20T00:01:00
E09000002,London Borough of Barking and Dagenham,YES,2020-12-20T00:01:00
E09000003,London Borough of Barnet,YES,2020-12-20T00:01:00
E09000004,London Borough of Bexley,YES,2020-12-20T00:01:00
E09000005,London Borough of Brent,YES,2020-12-20T00:01:00
E09000006,London Borough of Bromley,YES,2020-12-20T00:01:00
E09000007,London Borough of Camden,YES,2020-12-20T00:01:00
E09000008,London Borough of Croydon,YES,2020-12-20T00:01:00
E09000009,London Borough of Ealing,YES,2020-12-20T00:01:00
E09000010,London Borough of Enfield,YES,2020-12-20T00:01:00
E09000011,Royal Borough of Greenwich,YES,2020-12-20T00:01:00
E09000012,London Borough of Hackney,YES,2020-12-20T00:01:00
E09000013,London Borough of Hammersmith & Fulham,YES,2020-12-20T00:01:00
E09000014,London Borough of Haringey,YES,2020-12-20T00:01:00
E09000015,London Borough of Harrow,YES,2020-12-20T00:01:00
E09000016,London Borough of Havering,YES,2020-12-20T00:01:00
E09000017,London Borough of Hillingdon,YES,2020-12-20T00:01:00
E09000018,London Borough of Hounslow,YES,2020-12-20T00:01:00
E09000019,London Borough of Islington,YES,2020-12-20T00:01:00
E09000020,Royal Borough of Kensington and Chelsea,YES,2020-12-20T00:01:00
E09000021,Royal Borough of Kingston upon Thames,YES,2020-12-20T00:01:00
E09000022,London Borough of Lambeth,YES,2020-12-20T00:01:00
E09000024,London Borough of Merton,YES,2020-12-20T00:01:00
E09000025,London Borough of Newham,YES,2020-12-20T00:01:00
E09000026,London Borough of Redbridge,YES,2020-12-20T00:01:00
E09000027,London Borough of Richmond upon Thames,YES,2020-12-20T00:01:00
E09000028,London Borough of Southwark,YES,2020-12-20T00:01:00
E09000029,London Borough of Sutton,YES,2020-12-20T00:01:00
E09000030,London Borough of Tower Hamlets,YES,2020-12-20T00:01:00
E09000031,London Borough of Waltham Forest,YES,2020-12-20T00:01:00
E09000032,London Borough of Wandsworth,YES,2020-12-20T00:01:00
E09000033,City of Westminster,YES,2020-12-20T00:01:00
E07000004,Buckinghamshire Council,YES,2020-12-20T00:01:00
E07000005,Buckinghamshire Council,YES,2020-12-20T00:01:00
E07000006,Buckinghamshire Council,YES,2020-12-20T00:01:00
E07000007,Buckinghamshire Council,YES,2020-12-20T00:01:00
E06000060,Buckinghamshire Council,YES,2020-12-20T00:01:00
E07000008,Cambridge City Council,YES,2020-12-26T00:01:00
E07000009,East Cambridgeshire District Council,YES,2020-12-26T00:01:00
E07000010,Fenland District Council,YES,2020-12-26T00:01:00
E07000011,Huntingdonshire District Council,YES,2020-12-26T00:01:00
E07000012,South Cambridgeshire District Council,YES,2020-12-26T00:01:00
E07000061,Eastbourne Borough Council,YES,2020-12-26T00:01:00
E07000062,Hastings Borough Council,YES,2020-12-20T00:01:00
E07000063,Lewes District Council,YES,2020-12-26T00:01:00
E07000064,Rother District Council,YES,2020-12-20T00:01:00
E07000065,Wealden District Council,YES,2020-12-26T00:01:00
E07000066,Basildon Borough Council,YES,2020-12-20T00:01:00
E07000067,Braintree District Council,YES,2020-12-20T00:01:00
E07000068,Brentwood Borough Council,YES,2020-12-20T00:01:00
